Date Registered,Date Watched,Onboarded,Paid,Student Country,Student Id,Minutes Watched
7/27/2022,8/6/2022,Yes,1,SA,282791,7.1
7/27/2022,8/7/2022,Yes,1,SA,282791,4
7/27/2022,8/17/2022,Yes,1,SA,282791,9.1
7/27/2022,8/18/2022,Yes,1,SA,282791,15.9
7/27/2022,10/3/2022,Yes,1,SA,282791,0.1
7/27/2022,7/27/2022,Yes,1,SA,282791,0.1
7/27/2022,7/29/2022,Yes,1,SA,282791,11.3
7/27/2022,8/3/2022,Yes,1,SA,282791,8.3
7/27/2022,8/4/2022,Yes,1,SA,282791,9.2
7/27/2022,8/5/2022,Yes,1,SA,282791,3.7
7/27/2022,8/1/2022,Yes,0,IN,282794,6.4
7/27/2022,7/29/2022,Yes,0,IN,282795,13
7/27/2022,7/27/2022,Yes,0,IN,282795,36.5
7/27/2022,7/27/2022,Yes,0,MA,282796,18.7
7/27/2022,7/27/2022,Yes,0,IN,282799,12
7/27/2022,7/28/2022,Yes,0,IN,282799,17.3
7/27/2022,7/27/2022,Yes,0,EG,282800,4
7/27/2022,7/28/2022,Yes,0,US,282801,15.1
7/27/2022,7/27/2022,Yes,0,US,282801,45.3
7/27/2022,7/28/2022,Yes,0,PK,282802,6.2
7/27/2022,7/27/2022,Yes,0,PK,282802,9.5
7/27/2022,8/18/2022,Yes,1,EG,282803,111.2
7/27/2022,8/13/2022,Yes,1,EG,282803,138.2
7/27/2022,8/14/2022,Yes,1,EG,282803,161.3
7/27/2022,8/8/2022,Yes,1,EG,282803,33.7
7/27/2022,8/9/2022,Yes,1,EG,282803,248.8
7/27/2022,8/11/2022,Yes,1,EG,282803,223.2
7/27/2022,8/25/2022,Yes,1,EG,282803,21.8
7/27/2022,9/21/2022,Yes,0,EG,282803,0.1
7/27/2022,8/12/2022,Yes,1,EG,282803,179.6
7/27/2022,8/10/2022,Yes,1,EG,282803,319.8
7/27/2022,8/21/2022,Yes,1,EG,282803,116.9
7/27/2022,8/20/2022,Yes,1,EG,282803,77.7
7/27/2022,8/19/2022,Yes,1,EG,282803,38.6
7/27/2022,9/7/2022,Yes,1,EG,282803,0.3
7/27/2022,7/27/2022,Yes,0,ZA,282805,13.5
7/27/2022,7/27/2022,Yes,0,GB,282807,34.1
7/27/2022,7/27/2022,Yes,0,IN,282810,3.6
7/27/2022,8/8/2022,Yes,0,US,282813,38.4
7/27/2022,8/3/2022,Yes,0,US,282813,7.3
7/27/2022,8/4/2022,Yes,0,US,282813,15.2
7/27/2022,8/5/2022,Yes,0,US,282813,0.4
7/27/2022,8/16/2022,Yes,0,US,282813,34.4
7/27/2022,8/9/2022,Yes,0,US,282813,32.7
7/27/2022,8/12/2022,Yes,0,US,282813,37.1
7/27/2022,8/10/2022,Yes,0,US,282813,9.9
7/27/2022,8/11/2022,Yes,0,US,282813,16.9
7/27/2022,8/15/2022,Yes,0,US,282813,1.1
7/27/2022,8/22/2022,Yes,0,US,282813,12.8
7/27/2022,7/27/2022,Yes,0,US,282813,52.2
7/27/2022,8/17/2022,Yes,0,US,282813,92.1
7/27/2022,7/28/2022,Yes,0,US,282813,8.6
